Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,11303.5,10790.9,22094.4
5/9/01,11242.2,10771.5,22013.8
10/14/01,11356.2,10732.4,22088.7
15-19,11432.9,10730.6,22163.5
20-24,11553.1,10937.3,22490.4
25-29,11485.8,10977.9,22463.7
30-34,11215.4,10851.4,22066.8
35-39,10743.3,10504.7,21248
40-44,10207.1,10088.1,20295.2
45-49,9378.5,9348.8,18727.2
50-54,8240.7,8259.6,16500.3
55-59,6945,7016.2,13961.2
60-64,5486,5575.6,11061.5
65-69,4035.9,4163.4,8199
70-74,2530.4,2739.3,5269.4
75+,2232.9,2897.1,5130.6
Jumlah/Total,139388.9,136384.8,275773.8
,,,
Catatan,,,
  Hasil Proyeksi Penduduk Interim 2020–2023 (Pertengahan tahun/Juni)/The result of Interim Population Projection 2020–2023 (mid year/June) ,,,
